address,price,property_type,zipcode,beds,baths,sqft,garage,description
"4718 W Oklahoma Ave, Tampa, FL","$399,900",house,33616,3,2,1032,0,"Located just minutes from the Westshore Marina District, Gandy Blvd, and MacDill AFB, this South Tampa home combines modern updates with everyday convenience. With 3 bedrooms, 2 bathrooms, and 1, 050 square feet, the home features a bright, open layout with new laminate flooring, fresh paint, and plenty of natural light. The kitchen has been fully remodeled with granite countertops, stainless steel appliances, and contemporary finishes. Both bathrooms are updated with custom vanities, modern tile, and clean, cohesive design. The private primary suite offers a quiet retreat, while the fully fenced backyard provides space to relax, entertain, or plan for a future pool. Previously impacted by Hurricane Helene, the property has been professionally renovated and restored—ready for its next chapter."
"20074 Heritage Point Dr, Tampa, FL","$424,900",house,33559,4,2,2349,0,"Spacious 4-bed, 2-bath home in fair condition with 10-year-old AC. Great opportunity for investment or personal customization. This home offers maintenance-free living and the benefits of a new home without the price. Become part of the exclusive Grand Hampton community that offers resort-style amenities & 24-hour guard-gated security. Our kitchen has a TON of countertop space, cabinets, and a kitchen island- plus a breakfast nook and window seat. Daily life is convenient, with all of the main rooms just a step away from each other. The split floor plan is ideal. This is your opportunity to become part of it."
"6016 N Dexter Ave, Tampa, FL","$499,000",house,33604,3,2,1269,0,"Step into this charming 1926 bungalow in the heart of Old Seminole Heights. Featuring a classic porch swing, hardwood floors, 10 ft ceilings, and skylights, the home is filled with natural light and cozy charm. The open kitchen offers glass-front cabinets, stainless steel appliances, and a gas range. The split floor plan includes a private master suite with vaulted ceilings, skylights, walk-in closet, ensuite bath, and direct access to a spacious new deck built in 2025. This home has lots of storage space! Set on an oversized 180-ft-deep lot with mature landscaping and a storage shed, all just blocks from Epps Park and local hotspots. Schedule your tour today!"
"4505 S Clark Ave, Tampa, FL","$474,000",house,33611,3,2,1529,0,"Stunning 2018 Renovated Home in the Desirable Manhattan Manor – Prime South Tampa Location This beautifully updated 3-bedroom, 2-bathroom home offers the perfect blend of modern amenities and classic charm. Featuring a spacious 1-car garage, the property is ideal for both homeowners and investors looking for a high-demand short-term rental opportunity, such as Airbnb. The kitchen boasts stylish shaker-style cabinetry, elegant granite countertops, and top-of-the-line stainless steel appliances, seamlessly connecting to the expansive living and dining areas—perfect for both everyday living and entertaining. Enjoy the rich texture of refinished terrazzo flooring in the bedrooms, complemented by durable ceramic tile and laminate throughout the living and wet areas. Key updates include remodeled bathrooms, a fully fenced backyard with a charming deck, a utility room, and a small office space off the dining area for added convenience. The roof was replaced in 2016 and the HVAC system in 2017, offering peace of mind with minimal upkeep. Nestled in the heart of South Tampa, this home provides easy access to major roadways including the Selmon Expressway and I-275, making it just minutes away from downtown Tampa, top-rated restaurants, and vibrant nightlife. Whether you're looking for your next family home or an investment property with short-term rental potential, this turnkey residence is a fantastic opportunity. Schedule your showing today!"
"7849 Marsh Pointe Dr, Tampa, FL","$2,800,000",house,33601,4,4,4062,0,"Pre-Construction. To be built. Pre-construction - to be built. MAKING ALL YOUR DREAMS COME TRUE!! ONE OF A KIND, extraordinary custom home in perfectly located Marsh Pointe surrounded by Multimillion dollar properties. This modern and attractive, 4 Bedroom, 4 full bath with pool and spa home has already been approved by the neighborhood association and Buyer can make their selections to make it uniquely their own. Marsh Pointe is a gated community situated in Tampa at the Hillsborough/Pinellas County line. Just minutes off of Tampa Road with all the shopping and restaurants, and you are in a peaceful paradise with lush foliage and the refreshing smell of the salt air off the bay. The Tampa airport is 20 minutes, downtown Tampa is 30 minutes, downtown St Pete is 35 minutes, and Clearwater Beach is 35 minutes."
"15711 Springmoss Ln, Tampa, FL","$525,000",house,33601,3,3,2107,0,"Welcome to this well-maintained home offering timeless design and everyday comfort. Featuring 3 spacious bedrooms, 2.5 bathrooms, and over 2, 100 sq ft of versatile living space, this home is nestled in a peaceful neighborhood and blends indoor elegance with outdoor relaxation. Step inside through double-entry doors to a welcoming foyer and bright formal living and dining rooms—perfect for gatherings and holidays. The spacious family room, with custom built-ins and sliding glass doors, flows seamlessly to the backyard and sparkling pool. The kitchen offers plenty of cabinet and counter space, plus a cozy dinette overlooking the pool—ideal for everyday meals. The primary suite is a true retreat with multiple closets, a large vanity, walk-in shower, and garden tub. Two additional bedrooms are generously sized with ample natural light and closet space. Out back, enjoy your private oasis with an open pool, fenced yard, and space for barbecues or play. The garage provides secure parking, laundry area, and extra storage. Located close to top schools, parks, dining, and commuter routes—this home combines comfort, functionality, and a relaxing Florida lifestyle."
"3503 W Palmira Ave, Tampa, FL","$650,000",house,33629,2,1,1184,0,"Welcome to 3503 W Palmira Ave, a rare opportunity in one of South Tampa’s most desirable neighborhoods. Nestled on a beautiful lot within walking distance to the highly sought-after Plant High School, this property offers the perfect blend of location and potential. Whether you're looking to renovate and update the existing home to suit your style or start fresh and build the custom home of your dreams, the choice is yours. Surrounded by well-maintained homes and new construction, the possibilities are truly endless. Don't miss your chance to invest in a premium location with top-rated schools, charming tree-lined streets, and easy access to everything South Tampa has to offer — shopping, dining, Bayshore Boulevard, and more. Schedule your showing today and explore the potential of this exceptional property!"
"10344 Rosemount Dr, Tampa, FL","$329,000",house,33601,3,2,1132,0,"One or more photo(s) has been virtually staged. Your dream home is waiting for you! This home has Fresh Interior Paint, Partial flooring replacement in some areas. Discover a bright interior tied together with a neutral color palette. Head to the spacious primary suite with good layout and closet included. The primary bathroom features plenty of under sink storage waiting for your home organization needs. Take it easy in the fenced in back yard. The covered sitting area makes it great for BBQs! Hurry, this won’t last long!. 100-Day Home Warranty coverage available at closing"
"6408 N Central Ave, Tampa, FL","$329,000",house,33604,2,1,1204,0,"One or more photo(s) has been virtually staged. Nestled in the vibrant and historic neighborhood of Seminole Heights in Tampa, , FL this charming 1920 Craftsman-style bungalow offers the perfect blend of classic architecture and convenient location. With 1, 200 sq ft of living space, including a cozy loft, this home is perfectly setup for a first-time homeowner or those seeking to add a low maintenance property to their rental portfolio. The residence is ideally situated within walking distance to the trendy restaurants and local shops that make Seminole Heights so special. What is MOST important to know about this home is that all the major systems are new or updated including ROOF (2023), A/C (2024), UPDATED ELECTRICAL, UPDATED PLUMBING, UPDATED WINDOWS and WATER HEATER (2020). The layout of the home consists of 2 bedrooms and 1 bath PLUS a loft area that can serve as an office, study or guest room. There is an inside utilize room off the kitchen that also provides access to the large FENCED backyard. Additionally, the original wood floors have been refinished and those flow throughout the first floor. While this home is located in the Seminole Heights neighborhood it is just outside the historic district which allows for greater flexibility with exterior additions or renovations. This location is fantastic for those that desire a true walkable community with just two blocks from DI Coffee and Florida Ave with its great eateries like C House, Trips Diner, Bula Kavanada and Cappy’s Pizza. Also, its proximity to Armature Works and the Tampa Riverwalk is really unmatched. Schedule a showing today to see this property first hand!"
"4727 Town N Country Blvd, Tampa, FL","$460,000",house,33601,5,3,1334,0,"Modern Living Meets Endless Possibilities in Town and Country! Centrally located in the heart of Tampa's Town and Country area, this beautifully updated property offers the perfect blend of style, space, and versatility. Situated on a large corner lot, this home has been thoughtfully renovated inside and out, the sleek new porcelain tile flooring to the fresh paint and modern finishes throughout. Step into the stunning open-concept kitchen, complete with brand-new stainless steel appliances, stylish countertops, and plenty of room to gather and entertain. Oversized windows fill the living spaces with natural light, while new windows and doors add both efficiency and curb appeal. The main home features 3 comfortable bedrooms and 1 updated bathroom with a walk-in shower. An enclosed Florida room adds extra living space ideal for a home office, playroom, or relaxation zone. Unique to this property are two private in-law suites, each with its own bathroom and separate entrance, offering excellent potential for guests, extended family, the possibilities are up to you. The oversized, fully fenced backyard is perfect for Florida living, complete with double gates for boat, RV, or camper access and lush fruit trees to enjoy year-round. The expansive front yard provides even more room for parking and curbside appeal. Located just minutes from the airport, shopping, dining, and entertainment; this home is a rare find for first-time buyers, growing families, or savvy investors. All that's missing is your personal touch!"
"14113 Cypress Cir, Tampa, FL","$264,900",condo,33647,1,2,1072,0,"Centrally located just outside the heart of Tampa Bay, you will find this fabulous Carrollwood Village condo within steps from public transportation, restaurants, shops, 6-7 miles from the University of South Florida yet tucked away in a serene setting. Cute as a button condo featuring: •No rear nor top floor neighbors as this condo is just one level. •For your convenience, the oversized 2 car Carport is enclosed and attached to the condo via access door includes lighting and a set of flood lights. •Guest parking is easy as your guests may park right in front of your home – no worries there. •Floorplan consists of a 1 bedroom, 2 bathrooms, spacious living and dining rooms, breakfast room, kitchen, den/office/flex space that includes two skylights with shades and built-in cabinetry, inside laundry room, ceramic tile flooring throughout, front and rear porch. •U-shaped kitchen equipped with cabinets galore, Corian countertops, undermount double sink, and all appliances: refrigerator, mounted microwave, dishwasher, electric garbage disposal, and a newer barely used glass top stove & oven. •The master features two spacious built-in closets, ceiling fan, sliding glass doors leading to the enclosed porch, and a private bathroom with a tub and tiled shower combination. •The converted guest bathroom increased the living space by about 50sf and features a single sink vanity with a large medicine cabinet, linen closet, and ceramic tiled walk-in shower. •For your added convenience, the laundry room is inside the condo featuring storage cabinets and the full-sized washer and dryer set is included. •Step out for fresh air onto your fully enclosed and covered rear porch with access from both the living room and bedroom. The porch is equipped with lighting, ceiling fan, ceramic tiled flooring, and attic access. •The covered front porch includes canned lighting fixture, ceramic tiled walk-up, and features a garden with flood lights. •No need to walk to the mailbox as the mail is delivered straight into your foyer through the mailbox slot. •There's a Tankless Water Heater in place. HVAC replaced around 2022. •RE-ROOFED by the Association in the Fall of 2024. -About the Community: •Carrollwood Village is an all-age unincorporated condo community professionally managed by Greenacre Properties. •Steps from Carrollwood Country Club, within a short distance from Busch Gardens, Carrollwood Cultural Center, YMCA, libraries, museums, under 8 miles to Raymond James Stadium, under 17 miles from MacDill Air Force Base, 11 miles from Tampa International Airport, under 23 miles from St. Pete–Clearwater International Airport; Ybor City, fine dining and nightlife attractions just a short distance from this cozy condo. •The $541 monthly condo dues include exterior grounds maintenance including the ROOF, utilities: water, garbage pick-up, and sewer; access to the clubhouse and pool in both Phases II & III, as well as access to recreational facilities at West Village Park and Burrington Dr Playground: basketball and tennis courts, playground, nature trail just to name a few. •New owners may lease the property after 24 months of ownership for a minimum of 12 months. Only 10% of the units can be leased. Buyer and Tenant approval required by the Association."
"Na - 4203 Fairway Run, Tampa, FL","$435,000",condo,33601,3,3,1924,0,"Welcome to a beautifully updated 3-bedroom, 2.5-bath townhome with a 2-car garage, nestled in the heart of Carrollwood Village. This immaculate, move-in ready home showcases a sleek, contemporary kitchen outfitted with brand-new stainless-steel appliances, custom quartz countertops, and soft-close cabinetry. The thoughtfully designed open-concept floor-plan features two comfortable living areas, an open formal dining space, and an abundance of natural light that flows effortlessly throughout. A theater-style vaulted ceiling and cozy fireplace add warmth and character, while the elegant blend of wood, luxury vinyl, and ceramic tile flooring enhances the home’s modern appeal. Step outside to a fully screened-in patio oasis, complete with designer outdoor furniture and lush greenery, creating the perfect setting for entertaining or peaceful relaxation. Upstairs, you’ll find spacious bedrooms with expanded sitting areas and custom-designed closets. The owner’s suite offers a spa-like retreat with dual vanities, upscale fixtures, and a luxury bidet toilet for added comfort. Additional features include a freshly painted interior, generous storage options, and a location that offers convenience to top-rated schools, shopping, and dining. Situated in a quiet, tree-lined neighborhood with access to the golf course and beautifully maintained by the HOA, this home delivers low-maintenance living without compromising on style or comfort."
"Unit-1304 - 5100 Burchette Rd, Tampa, FL","$198,500",condo,33601,2,2,1121,0,"FANTASTIC LOCATION IN TAMPA PALMS with 5 parks offering Tennis, Pool, Pickle Ball, and much more. Faircrest is a wonderful upscale gated community with a pool and adjacent to one of the parks. It's a highly sought-after location and has recent upgrades that includes a top-notch recent paint project (2024) and re-surfaced parking lot."
"6 - 2809 W Platt St, Tampa, FL","$537,900",condo,33601,2,3,1301,0,"Stylish South Tampa Condo with Loft, Garage & Smart Upgrades! Welcome to this rare gem in the heart of South Tampa! Nestled in the desirable Habana Place community, this 2-bedroom, 2.5-bath end-unit condo offers 1, 301 sq ft of living space across three levels. The open-concept main floor features a modern kitchen with brand-new stove (2024), stone countertops, stainless appliances, and a seamless flow into the private fenced patio—perfect for morning coffee or evening wine. Upstairs, both bedrooms feature en-suite bathrooms, including a fully renovated and remodeled primary bath. A spiral staircase leads to a versatile third-floor loft ideal for a home office, gym, or media room. Additional updates include an updated half bath downstairs, new master bedroom ceiling fan, handrails added to the stairs, a hidden access door to the new hot water heater, and a new LiftMaster garage door opener (2024). A Vivint security system is also included. Other recent improvements include exterior paint (2021), new carpet, and updated sprinklers (2022). The detached 1-car garage is a rare find, and the location is unbeatable—just minutes from Hyde Park Village, Downtown Tampa, the University of Tampa, and major highways. The reasonable HOA fee is $450/month and includes water, trash, pest control (interior and exterior via Massey Services), lawn maintenance, exterior insurance —offering peace of mind and low-maintenance living in one of Tampa’s most vibrant neighborhoods. Don’t miss your chance to own this one-of-a-kind South Tampa retreat—where style, comfort, and location come together for the perfect place to call home!"
"3145 - 3145 Lake Ellen Dr, Tampa, FL","$760,000",condo,33601,3,3,2636,0,"You have just found a diamond in the rough!!! This highly desired condominium on Lake Ellen rarely comes available. If you want to live in the Lake Ellen/Carrollwood area then look no further. With stunning views from both the first and second levels, you'll never want to leave. This private condominium provides your own personal pool, spa & waterfall. Not a community pool, your very own private backyard oasis sitting on gorgeous Lake Ellen. A community dock gives easy access to lake life where you can launch canoes, kayaks and paddleboards. The first floor offers a spacious bedroom with a built-in Murphy Bed, which can double as a home office or guest suite as it gives access to a full ensuite with a walk-in shower. The front dining-room can also double as a flex space if needed. The open airy kitchen is very spacious and offers tons of cabinet & pantry storage. It overlooks another dining area and the family room which is perfect for entertaining and enjoying peaceful water views. The rear sliders and wall of windows allow tons of natural light in, making this space nice and bright. The two story screened cage makes enjoying the lake views effortless, simply open your sliders and rest assured no mosquitos will bother you. Upstairs you will find the primary. Imagine waking up to serene Lake Ellen views first thing every morning from your rear sliders.....What a great way to start your day! The private ensuite is huge and offers plenty of closet space. The upstairs loft is nice & cozy, a perfect spot to cuddle up with a book and a cup of Joe while natural light beams all around you. An additional bedroom, full bathroom & laundry room are also located on the 2nd level. This unit will not last long as there is nothing like it in the Tampa area. You are only minutes to Dale Mabry that offers a plethora of shopping, dining & entertainment. Interstate 275 is only 2 miles away making downtown a quick 10-minute drive. This unit is priced to sell given the upgrades that may be desired by the new owner. Don't miss out on Lake Life in the heart of Tampa, schedule your showing today!!"
"2503 - 111 S Ashley Dr, Tampa, FL","$1,815,000",condo,33601,1,2,1378,0,"Under Construction. Pendry Residences Tampa hails the arrival of Florida’s first Pendry hotel, a new luxury offering by Montage Hotels & Resorts. An offering that combines a culture of world-class hospitality with fully-serviced residences to create a distinctive expression of luxury. Ranked among the most vibrant urban waterfront environments in the nation, downtown Pendry Residences Tampa are located above the hotel starting on level 15 through 37. Enjoy the exclusive hotel benefits and VIP access when your favorite destination is home. Residences not only get to experience the hotel daily, they have their own dedicated amenity level on the 38th floor rooftop highlighted by a resort-style pool and lounge. Residences overlook the downtown riverfront and Hillsborough Bay. Spacious one, two, and three bedroom open floorplans ranging from 1, 380 to 3, 200 square feet with 10’ ceilings, floor to ceiling glass. Residence G features 1 bedroom, 2 baths, and a den in 1, 379 interior square feet. Featuring Quartzite waterfall edge kitchen counters, Sub-Zero & Wolf appliances, 5 burner gas stove top; porcelain flooring throughout; custom designed double vanity in Carrara marble over custom floating Italian millwork by Italkraft; designer plumbing fixtures, and deep soaking tub. Expansive terraces provide abundant outdoor living space high above the city and bay below. Convenient to the area’s finest attractions including world- famous Gulf beaches, the airport and top rated centers of healthcare, education and entertainment. Luxury is in the details, Luxury Lifestyle Living on the Riverwalk."
"2601 - 111 S Ashley Dr, Tampa, FL","$5,835,000",condo,33601,3,4,3218,0,"Under Construction. Pendry Residences Tampa hails the arrival of Florida’s first Pendry hotel, a new luxury offering by Montage Hotels & Resorts. An offering that combines a culture of world-class hospitality with fully-serviced residences to create a distinctive expression of luxury. Ranked among the most vibrant urban waterfront environments in the nation, downtown Pendry Residences Tampa are located above the hotel starting on level 15 through 37. Enjoy the exclusive hotel benefits and VIP access when your favorite destination is home. Residences not only get to experience the hotel daily, they have their own dedicated amenity level on the 38th floor rooftop highlighted by a resort-style pool and lounge. Residences overlook the downtown riverfront and Hillsborough Bay. Spacious one, two, and three bedroom open floorplans ranging from 1, 380 to 3, 200 square feet with 10’ ceilings, floor to ceiling glass. Residence A features a spacious 3 bedroom, 3.5 baths, and 3, 218 interior square feet. Featuring Quartzite waterfall edge kitchen counters, Sub-Zero & Wolf appliances, 5 burner gas stove top; porcelain flooring throughout; custom designed double vanity in Carrara marble over custom floating Italian millwork by Italkraft; designer plumbing fixtures, and deep soaking tub. Expansive terraces provide abundant outdoor living space high above the city and bay below. Convenient to the area’s finest attractions including world- famous Gulf beaches, the airport and top rated centers of healthcare, education and entertainment. Luxury is in the details, Luxury Lifestyle Living on the Riverwalk."
"2705 - 111 S Ashley Dr, Tampa, FL","$2,595,000",condo,33601,2,3,1930,0,"Under Construction. Pendry Residences Tampa hails the arrival of Florida’s first Pendry hotel, a new luxury offering by Montage Hotels & Resorts. An offering that combines a culture of world-class hospitality with fully-serviced residences to create a distinctive expression of luxury. Ranked among the most vibrant urban waterfront environments in the nation, downtown Pendry Residences Tampa are located above the hotel starting on level 15 through 37. Enjoy the exclusive hotel benefits and VIP access when your favorite destination is home. Residences not only get to experience the hotel daily, they have their own dedicated amenity level on the 38th floor rooftop highlighted by a resort-style pool and lounge. Residences overlook the downtown riverfront and Hillsborough Bay. Spacious one, two, and three bedroom open floorplans ranging from 1, 380 to 3, 200 square feet with 10’ ceilings, floor to ceiling glass.Residence F features 2 bedrooms, 2.5 baths, and 1, 930 interior square feet. Featuring Quartzite waterfall edge kitchen counters, Sub-Zero & Wolf appliances, 5 burner gas stove top; porcelain flooring throughout; custom designed double vanity in Carrara marble over custom floating Italian millwork by Italkraft; designer plumbing fixtures, and deep soaking tub. Expansive terraces provide abundant outdoor living space high above the city and bay below. Convenient to the area’s finest attractions including world- famous Gulf beaches, the airport and top rated centers of healthcare, education and entertainment. Luxury is in the details, Luxury Lifestyle Living on the Riverwalk."
